City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Jimo,CN,36.3897,120.4622,69.58,43,0,6.71,clear sky
115,Mahebourg,MU,-20.4081,57.7,80.26,69,75,13.8,broken clouds
116,Hangu,CN,39.2489,117.7892,73.44,27,3,12.46,clear sky
117,Pontes E Lacerda,BR,-15.2261,-59.3353,65.79,88,100,7.23,overcast clouds
118,Impfondo,CG,1.6381,18.0667,95.7,39,41,1.99,scattered clouds
119,Hovd,MN,48.0056,91.6419,64.17,26,100,9.55,overcast clouds
120,Oum Hadjer,TD,13.2954,19.6966,92.34,28,93,7.56,overcast clouds
121,Souillac,MU,-20.5167,57.5167,79.18,69,75,13.8,light rain
122,Dharchula,IN,29.85,80.5333,86.31,27,72,3.65,broken clouds
123,Boende,CD,-0.2167,20.8667,92.59,43,32,3.18,scattered clouds
124,Kalabo,ZM,-14.97,22.6814,77.52,27,0,9.62,clear sky
125,Broken Hill,AU,-31.95,141.4333,57.27,54,32,9.42,scattered clouds
126,Lavrentiya,RU,65.5833,-171.0,17.42,88,26,7.09,scattered clouds
127,Cherskiy,RU,68.75,161.3,33.71,85,100,8.19,overcast clouds
128,Portland,US,45.5234,-122.6762,57.78,84,100,5.99,overcast clouds
129,Assiniboia,CA,49.6334,-105.9845,42.62,75,72,8.05,broken clouds
130,Ponta Do Sol,PT,32.6667,-17.1,80.01,65,8,6.2,clear sky
131,Taoudenni,ML,22.6783,-3.9836,106.74,6,19,17.34,few clouds
132,Mar Del Plata,AR,-38.0023,-57.5575,52.95,89,75,17.27,broken clouds
133,Kardamaina,GR,36.7814,27.1425,80.08,50,0,10.36,clear sky
134,Trinidad,BO,-14.8333,-64.9,71.58,68,75,11.5,broken clouds
135,Meulaboh,ID,4.1363,96.1285,81.27,80,99,3.89,overcast clouds
136,Vlagtwedde,NL,53.0275,7.1083,77.25,58,100,10.45,overcast clouds
137,Zlobin,HR,45.2924,14.6541,71.67,53,0,6.91,clear sky
138,Kingussie,GB,57.08,-4.0523,49.98,85,100,7.34,overcast clouds
139,Chagoda,RU,59.164,35.3285,49.37,84,100,8.57,light rain
140,Severo-Kurilsk,RU,50.6789,156.125,35.17,98,100,12.33,overcast clouds
141,Ancud,CL,-41.8697,-73.8203,43.63,80,80,9.46,broken clouds
142,Sao Filipe,CV,14.8961,-24.4956,78.31,62,70,3.36,broken clouds
143,Jamame,SO,0.0722,42.7506,84.22,66,91,16.13,overcast clouds
144,Bodden Town,KY,19.2833,-81.25,78.8,85,20,4.61,few clouds
145,Pisco,PE,-13.7,-76.2167,58.01,88,20,3.44,mist
146,Upernavik,GL,72.7868,-56.1549,15.58,73,76,5.08,broken clouds
147,Barra Do Garcas,BR,-15.89,-52.2567,75.51,70,44,3.49,scattered clouds
148,Lagoa,PT,39.05,-27.9833,57.9,58,88,24.63,overcast clouds
149,Tual,ID,-5.6667,132.75,84.22,71,73,7.18,broken clouds
150,Necochea,AR,-38.5473,-58.7368,52.56,79,97,27.76,overcast clouds
151,Adrar,MR,20.5022,-10.0711,104.0,7,39,17.52,scattered clouds
152,Narsaq,GL,60.9167,-46.05,37.62,56,100,1.7,overcast clouds
153,Dubbo,AU,-32.25,148.6167,55.53,76,0,8.05,clear sky
154,Tecpan,GT,14.7623,-90.9947,54.9,89,100,3.8,overcast clouds
155,Hanyang,CN,32.1371,105.5126,62.15,59,11,5.03,few clouds
156,Kruisfontein,ZA,-34.0033,24.7314,83.88,17,0,14.72,clear sky
157,Gunjur,GM,13.2019,-16.7339,86.07,58,0,8.05,clear sky
158,Bredasdorp,ZA,-34.5322,20.0403,83.55,15,0,6.89,clear sky
159,Menongue,AO,-14.6585,17.691,75.99,31,37,8.34,scattered clouds
160,Santarem,BR,-2.4431,-54.7083,80.73,89,75,9.22,broken clouds
161,Talnakh,RU,69.4865,88.3972,41.74,91,100,8.79,overcast clouds
162,Malartic,CA,48.1335,-78.1328,53.71,73,99,2.91,overcast clouds
163,Kiama,AU,-34.6833,150.8667,64.0,66,1,5.01,clear sky
164,Savinka,RU,50.0785,47.0994,62.04,54,78,15.28,broken clouds
165,Hollins,US,37.3413,-79.9431,67.08,92,100,4.61,overcast clouds
166,Nago,JP,26.5881,127.9761,64.83,90,100,13.82,light rain
167,Chengde,CN,40.9725,117.9361,67.46,20,93,4.68,overcast clouds
168,Elizabeth City,US,36.2946,-76.2511,70.02,93,0,10.36,clear sky
169,Aksarka,RU,66.5606,67.7975,55.09,55,78,10.16,broken clouds
170,Padre Paraiso,BR,-17.0742,-41.4844,74.82,67,81,3.98,broken clouds
171,Filadelfia,US,39.9523,-75.1638,67.37,95,100,4.61,fog
172,Klaksvik,FO,62.2266,-6.589,50.92,94,37,22.5,scattered clouds
173,Mitsamiouli,KM,-11.3847,43.2844,81.12,72,34,12.35,light rain
174,Sumenep,ID,-7.0167,113.8667,81.27,75,89,2.26,overcast clouds
175,Hermanus,ZA,-34.4187,19.2345,85.8,34,3,2.1,clear sky
176,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,70,0,9.22,clear sky
177,Quang Ngai,VN,15.1167,108.8,75.92,95,100,6.62,overcast clouds
178,Vardo,NO,70.3705,31.1107,39.18,81,40,20.71,scattered clouds
179,Kavaratti,IN,10.5669,72.642,80.02,83,100,19.75,very heavy rain
180,Coihaique,CL,-45.5752,-72.0662,22.95,93,20,0.0,few clouds
181,Abha,SA,18.2164,42.5053,85.82,7,0,12.66,clear sky
182,Ponta Pora,BR,-22.5361,-55.7256,53.51,94,75,16.11,broken clouds
183,Anadyr,RU,64.75,177.4833,36.1,44,0,17.9,clear sky
184,Junction City,US,39.0286,-96.8314,53.82,93,0,4.61,clear sky
185,Awjilah,LY,29.1081,21.2869,89.22,18,0,8.03,clear sky
186,Grindavik,IS,63.8424,-22.4338,55.35,71,75,19.57,broken clouds
187,Creel,MX,27.75,-107.6333,53.71,46,100,1.28,overcast clouds
188,Awbari,LY,26.5921,12.7805,89.19,8,0,7.49,clear sky
189,Wanning,CN,18.8003,110.3967,72.46,91,100,13.22,overcast clouds
190,Avera,US,33.194,-82.5271,65.71,83,9,6.26,clear sky
191,Dombarovskiy,RU,50.7587,59.5386,63.57,51,62,18.14,broken clouds
192,Agua Branca,BR,-5.8922,-42.6361,80.44,69,97,6.13,overcast clouds
193,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,76.98,83,100,2.13,overcast clouds
