City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Kota Kinabalu,MY,85.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
405,Lorengau,PG,81.01,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
406,Stefanestii De Jos,RO,78.82,clear sky,44.5333,26.2,HOTEL CRISTIAN
408,Muisne,EC,76.71,light rain,0.6,-80.0333,Quinta Samay
414,Mugla,TR,77.38,clear sky,37.2303,28.3557,Petek Hotel
416,Gat,IL,81.39,overcast clouds,31.61,34.7642,OlusHome
418,Ambilobe,MG,86.88,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
423,Finschhafen,PG,80.28,broken clouds,-6.6024,147.8681,Cossam Guest House
428,Carutapera,BR,82.69,overcast clouds,-1.195,-46.02,Lidera
438,Shu,KZ,80.1,broken clouds,43.5983,73.7614,Shyngyzkhan
442,Axim,GH,85.68,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
446,Baglung,NP,81.93,light rain,28.2719,83.5898,Hotel Peace Palace
447,Bom Jesus Da Lapa,BR,83.05,overcast clouds,-13.255,-43.4181,Hotel das Nações
450,Kudat,MY,82.33,few clouds,6.8837,116.8477,Dream Garden Hotel
452,Padang,ID,80.65,light rain,-0.9492,100.3543,Mercure Padang
455,Maragogi,BR,81.55,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
456,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
460,Groningen,NL,76.01,overcast clouds,53.25,6.75,Bed&Breakfast Lageland
467,Lerici,IT,75.45,few clouds,44.0759,9.9112,Doria Park Hotel
468,Salinopolis,BR,81.86,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
475,Netanya,IL,78.04,overcast clouds,32.3329,34.8599,King Koresh Hotel
476,Maroantsetra,MG,77.77,light rain,-15.4333,49.7333,Annexe Vatsy Hôtel
479,Riohacha,CO,80.71,broken clouds,11.5444,-72.9072,Hotel Taroa
481,Sumbe,AO,82.4,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
484,Beaumont,US,75.18,clear sky,30.0861,-94.1019,Super 8 by Wyndham Beaumont
485,Manado,ID,81.37,scattered clouds,1.487,124.8455,Aryaduta Hotel
486,Muli,MV,83.53,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
496,Alyangula,AU,76.26,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
498,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
500,Sao Miguel Do Araguaia,BR,83.08,clear sky,-13.275,-50.1628,Hotel Executivo Palace
501,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
507,The Valley,AI,82.09,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
510,Adeje,ES,75.22,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
512,Afantou,GR,78.51,few clouds,36.2935,28.1623,Hotel Iris
514,Manay,PH,78.6,overcast clouds,7.215,126.5397,Caryl and Karl Inn
515,Atasu,KZ,78.12,broken clouds,48.6814,71.6433,Dostyk
517,Caceres,ES,76.51,scattered clouds,39.522,-6.3748,Ahc Hoteles
519,Mbandaka,CD,89.19,scattered clouds,0.0487,18.2603,Guest House Epervier
521,Acapulco,MX,76.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
524,Bubaque,GW,79.83,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
525,Micula,RO,77.65,scattered clouds,47.9,22.95,Noroieni
528,Port Blair,IN,83.17,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
534,Akyab,MM,86.04,scattered clouds,20.15,92.9,Hotel Memory
536,Totness,SR,79.81,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
546,Balabac,PH,83.43,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
552,Manbij,SY,82.62,clear sky,36.5281,37.9549,Manbej City Hotel
557,Mizdah,LY,89.78,broken clouds,31.4451,12.9801,محمدالمبروك الاريقط
558,Kirakira,SB,79.23,broken clouds,-10.4544,161.9205,SanBiz Lodge
559,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
563,Vanimo,PG,80.17,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
565,Barabai,ID,76.42,broken clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
566,San Andres,CO,77.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
569,Madhugiri,IN,89.46,overcast clouds,13.6606,77.2092,Akshay Comforts
570,George,ZA,83.75,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
571,Chivasso,IT,83.34,scattered clouds,45.1894,7.8872,Hotel Europa Chivasso
573,Japura,ID,77.14,moderate rain,-0.3167,102.35,Rumah mbah Jamah
577,Phan Thiet,VN,81.0,overcast clouds,10.9333,108.1,Hotel Saigon-PT
578,Porto Velho,BR,77.05,light rain,-8.7619,-63.9039,Ecos Hotel Conforto
