City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Hukuntsi,BW,2022-05-16 02:20:37,-24.0,21.75,62.1,35,66,11.14
147,Tiksi,RU,2022-05-16 02:20:37,71.6872,128.8694,18.61,89,86,6.85
148,Khatanga,RU,2022-05-16 02:20:37,71.9667,102.5,32.5,100,100,3.69
149,Sandwick,GB,2022-05-16 02:20:38,60.0,-1.25,46.22,100,100,16.11
150,Seoul,KR,2022-05-16 02:20:00,37.5683,126.9778,67.57,45,0,10.36
151,Norman Wells,CA,2022-05-16 02:18:01,65.282,-126.8329,53.64,47,75,19.57
152,Port Alfred,ZA,2022-05-16 02:20:38,-33.5906,26.891,61.81,82,0,8.55
153,Agadir,MA,2022-05-16 02:20:39,30.4202,-9.5982,63.05,87,2,4.97
154,Taonan,CN,2022-05-16 02:20:39,45.3333,122.7833,67.08,18,14,10.18
155,Salinopolis,BR,2022-05-16 02:20:40,-0.6136,-47.3561,79.32,88,100,10.45
156,Moyale,KE,2022-05-16 02:20:40,3.5167,39.0584,62.96,94,98,4.56
157,Nikolskoye,RU,2022-05-16 02:20:40,59.7035,30.7861,46.29,91,100,7.27
158,Tigil,RU,2022-05-16 02:20:41,57.8,158.6667,49.1,57,100,11.03
159,Horsham,GB,2022-05-16 02:20:41,51.064,-0.3272,58.86,91,91,2.3
160,Batagay-Alyta,RU,2022-05-16 02:20:42,67.8006,130.4114,24.26,69,100,4.56
161,Grindavik,IS,2022-05-16 02:19:01,63.8424,-22.4338,51.75,93,100,18.41
162,Znamenka,RU,2022-05-16 02:20:42,52.4167,41.4311,43.23,97,36,8.34
163,Carnarvon,AU,2022-05-16 02:19:24,-24.8667,113.6333,70.32,32,0,7.74
164,Neropolis,BR,2022-05-16 02:20:43,-16.4064,-49.2186,69.82,71,80,1.88
165,Jurado,CO,2022-05-16 02:20:43,7.1053,-77.7641,78.91,90,100,1.25
166,Puerto Ayora,EC,2022-05-16 02:19:44,-0.7393,-90.3518,73.54,97,89,1.01
167,Sorong,ID,2022-05-16 02:20:44,-0.8833,131.25,84.97,67,85,6.51
168,Bilokurakyne,UA,2022-05-16 02:20:44,49.5341,38.7307,45.34,95,17,10.49
169,Swan Hill,AU,2022-05-16 02:20:45,-35.3378,143.5544,63.45,53,41,13.89
170,Souillac,MU,2022-05-16 02:20:45,-20.5167,57.5167,73.78,88,40,11.5
171,Turayf,SA,2022-05-16 02:20:46,31.6725,38.6637,57.45,44,0,6.91
172,Eyl,SO,2022-05-16 02:20:46,7.9803,49.8164,82.26,63,9,14.74
173,Anqing,CN,2022-05-16 02:20:47,30.5092,117.0506,70.68,55,41,6.51
174,Kaura Namoda,NG,2022-05-16 02:20:47,12.5898,6.5779,84.51,16,32,2.95
175,Ardakan,IR,2022-05-16 02:20:48,32.31,54.0175,71.28,13,0,5.68
176,Narsaq,GL,2022-05-16 02:20:48,60.9167,-46.05,37.62,68,45,2.57
177,Maragogi,BR,2022-05-16 02:20:49,-9.0122,-35.2225,77.47,85,95,3.83
178,Kruisfontein,ZA,2022-05-16 02:20:50,-34.0033,24.7314,55.06,65,0,6.4
